country region code,country region,sub region 1,sub region 2,metro area,iso 3166_2 code,census fips code,place id,date,retail and recreation percent change from baseline,grocery and pharmacy percent change from baseline,parks percent change from baseline,transit stations percent change from baseline,workplaces percent change from baseline,residential percent change from baseline
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/15/2020,-5,-6,-16,-1,3,2
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/16/2020,-1,-2,-7,1,2,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/17/2020,-2,-2,-6,0,3,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/18/2020,-4,-4,-8,0,3,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/19/2020,-6,-6,-11,0,1,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/20/2020,-3,-1,-6,5,-3,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/21/2020,-1,0,-9,8,3,0
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/22/2020,-2,-3,-10,1,4,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/23/2020,0,-1,-6,1,4,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/24/2020,-3,-3,-8,1,2,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/25/2020,-3,-3,-7,-3,3,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/26/2020,-5,-6,-9,-2,3,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/27/2020,-4,-3,-9,0,3,1
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,2/28/2020,-2,0,-14,5,4,1
