X,Y,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni
96.9095227480001,4.22508189200005,1,11,Aceh,10814,9367,432
99.0578878490001,2.18477921500005,2,12,Sumatera Utara,29198,25952,965
100.46680503,-0.85191434799998,3,13,Sumatera Barat,36268,33058,783
101.812891954,0.510525849000032,4,14,Riau,42698,37374,1050
103.59932,-1.61774999999994,5,15,Jambi,7407,5987,108
104.170419445,-3.21334682199995,6,16,Sumatera Selatan,20068,17712,979
102.26312,-3.79115999999993,7,17,Bengkulu,6630,5743,172
105.986948082,-2.25295641099996,8,19,Bangka Belitung,12822,11272,201
105.018313051,-4.91807308699993,9,18,Lampung,10838,9581,253
108.202228889,3.91594724100003,10,21,Kepulauan Riau,9381,8801,230
106.82649,-6.17147999999997,11,31,DKI Jakarta,406205,393166,6625
107.602807898,-6.91998021599994,12,32,Jawa Barat,277553,243650,3678
110.201112529,-7.25897038299996,13,33,Jawa Tengah,183027,162823,8001
110.445366971,-7.89501381499997,14,34,Daerah Istimewa Yogyakarta,38703,33636,948
112.733678801,-7.72011301899994,15,35,Jawa Timur,146808,134525,10600
106.109197069,-6.45618159899993,16,36,Banten,47101,43892,1200
115.131650995,-8.36974326099994,17,51,Bali,44236,41608,1317
117.506862452,-8.60665208399996,18,52,Nusa Tenggara Barat,10291,7750,373
121.14182917,-8.60484333199997,19,53,Nusa Tenggara Timur,14200,12468,366
111.120762401,-0.085901233999948,20,61,Kalimantan Barat,7503,6548,43
113.181047852,-1.63434004499993,21,62,Kalimantan Tengah,19780,16577,442
115.311307834,-2.44977913699995,22,63,Kalimantan Selatan,32612,29518,937
116.470858393,0.461046227000054,23,64,Kalimantan Timur,68136,64718,1631
116.216718309,2.88882096100002,24,65,Kalimantan Utara,11702,10978,186
124.53537885,1.28609768700005,25,71,Sulawesi Utara,15638,12961,504
120.4495925,-1.45921495399995,26,72,Sulawesi Tengah,12125,11109,325
120.161157704,-3.74711571199992,27,73,Sulawesi Selatan,61419,60164,931
122.078678056,-4.13280397099993,28,74,Sulawesi Tenggara,10396,9818,209
123.06184,0.53707,29,75,Gorontalo,5355,4990,161
119.343471383,-2.46190201499996,30,76,Sulawesi Barat,5443,5251,118
129.360425,-3.12611934299997,31,81,Maluku,7515,7056,116
128.015929442,0.869337001000019,32,82,Maluku Utara,4414,4117,120
140.0,-4.99999999999994,33,94,Papua,20308,11223,207
132.968341712,-2.04172328199996,34,91,Papua Barat,8879,8371,147
113.915865,-0.989818181999965,35,0,Indonesia,0,0,0
