TGL,Perkembangan Kasus,,
,terkonfirmasi covid per-hari, Sembuh Per-Hari,Meninggal Per-Hari
2-Mar-20,2,0,0
3-Mar-20,0,0,0
4-Mar-20,0,0,0
5-Mar-20,0,0,0
6-Mar-20,2,0,0
7-Mar-20,0,0,0
8-Mar-20,2,0,0
9-Mar-20,13,0,0
10-Mar-20,8,2,0
11-Mar-20,7,0,1
12-Mar-20,0,0,0
13-Mar-20,35,0,3
14-Mar-20,27,6,1
15-Mar-20,21,0,0
16-Mar-20,17,0,0
17-Mar-20,38,1,0
18-Mar-20,55,2,14
19-Mar-20,82,4,6
20-Mar-20,60,2,7
21-Mar-20,81,3,6
22-Mar-20,64,9,10
23-Mar-20,65,1,1
24-Mar-20,106,0,6
25-Mar-20,105,1,3
26-Mar-20,103,4,20
27-Mar-20,153,11,9
28-Mar-20,109,13,15
29-Mar-20,130,5,12
30-Mar-20,129,11,8
31-Mar-20,114,6,14
1-Apr-20,149,22,21
2-Apr-20,113,9,13
3-Apr-20,196,22,11
4-Apr-20,106,16,10
5-Apr-20,181,14,7
6-Apr-20,218,28,11
7-Apr-20,247,12,12
8-Apr-20,218,18,19
9-Apr-20,337,30,40
10-Apr-20,219,30,26
11-Apr-20,330,4,21
12-Apr-20,399,73,46
13-Apr-20,316,21,26
14-Apr-20,282,46,60
15-Apr-20,297,20,10
16-Apr-20,380,102,27
17-Apr-20,407,59,24
18-Apr-20,325,24,15
19-Apr-20,327,55,47
20-Apr-20,185,61,8
21-Apr-20,375,95,26
22-Apr-20,283,71,19
23-Apr-20,357,47,12
24-Apr-20,436,42,42
25-Apr-20,396,40,31
26-Apr-20,275,65,23
27-Apr-20,214,44,22
28-Apr-20,415,103,8
29-Apr-20,260,137,11
30-Apr-20,347,131,8
1-May-20,433,69,8
2-May-20,292,74,31
3-May-20,349,211,14
4-May-20,395,78,19
5-May-20,484,243,8
6-May-20,367,120,23
7-May-20,338,64,35
8-May-20,336,113,13
9-May-20,533,113,16
10-May-20,387,91,14
11-May-20,233,183,18
12-May-20,484,182,16
13-May-20,689,224,21
14-May-20,568,231,15
15-May-20,490,285,33
16-May-20,529,108,13
17-May-20,489,218,59
18-May-20,496,195,43
19-May-20,486,143,30
20-May-20,693,108,21
21-May-20,973,263,36
22-May-20,634,219,48
23-May-20,949,192,25
24-May-20,526,153,21
25-May-20,479,240,19
26-May-20,415,235,27
27-May-20,686,180,55
28-May-20,687,183,23
29-May-20,678,252,24
30-May-20,557,523,53
31-May-20,700,293,40
1-Jun-20,467,329,28
2-Jun-20,609,298,22
3-Jun-20,684,471,35
4-Jun-20,585,486,23
5-Jun-20,703,551,49
6-Jun-20,993,464,31
7-Jun-20,672,591,50
8-Jun-20,847,406,32
9-Jun-20,1042,510,40
10-Jun-20,1241,715,36
11-Jun-20,979,507,41
12-Jun-20,1111,577,48
13-Jun-20,1014,563,43
14-Jun-20,857,755,43
15-Jun-20,1017,592,64
16-Jun-20,1106,580,33
17-Jun-20,1031,540,45
18-Jun-20,1331,555,63
19-Jun-20,1041,551,34
20-Jun-20,1226,534,56
21-Jun-20,862,521,36
22-Jun-20,954,331,35
23-Jun-20,1051,506,35
24-Jun-20,1113,417,38
25-Jun-20,1178,791,47
26-Jun-20,1240,884,63
27-Jun-20,1385,576,37
28-Jun-20,1198,1027,34
29-Jun-20,1082,864,51
30-Jun-20,1293,1006,71
1-Jul-20,1385,789,58
2-Jul-20,1624,1072,53
3-Jul-20,1301,901,49
4-Jul-20,1447,651,53
5-Jul-20,1607,886,82
6-Jul-20,1209,814,70
7-Jul-20,1268,866,68
8-Jul-20,1853,800,50
9-Jul-20,2657,1066,58
10-Jul-20,1611,878,52
11-Jul-20,1671,1190,66
12-Jul-20,1681,919,71
13-Jul-20,1282,1051,50
14-Jul-20,1591,947,54
15-Jul-20,1522,1414,87
16-Jul-20,1574,1295,76
17-Jul-20,1462,1489,84
18-Jul-20,1752,1434,59
19-Jul-20,1639,2133,127
20-Jul-20,1693,1576,96
21-Jul-20,1655,1489,81
22-Jul-20,1882,1789,139
23-Jul-20,1906,1909,117
24-Jul-20,1761,1781,89
25-Jul-20,1868,1409,49
26-Jul-20,1492,1301,67
27-Jul-20,1525,1518,57
28-Jul-20,1748,2366,63
