DD-MM-YY,minimal 1 dosis,dosis lengkap
22-Jan-21,132,
23-Jan-21,,
24-Jan-21,149.242,
25-Jan-21,161.959,
26-Jan-21,245.685,
27-Jan-21,308.003,
28-Jan-21,368.318,5.468
29-Jan-21,405.012,11.287
30-Jan-21,482.145,20.81
31-Jan-21,493.133,22.548
1-Feb-21,539.532,35.406
2-Feb-21,596.26,51.999
3-Feb-21,646.026,71.621
4-Feb-21,700.266,96.553
5-Feb-21,744.884,120.125
6-Feb-21,777.096,137.207
7-Feb-21,784.318,139.131
8-Feb-21,814.585,171.27
9-Feb-21,845.407,221.453
10-Feb-21,969.546,279.251
11-Feb-21,1.017.168,345.605
12-Feb-21,,
13-Feb-21,1.060.326,415.486
14-Feb-21,1.068.747,425.578
15-Feb-21,1.096.095,482.625
16-Feb-21,1.120.963,537.147
17-Feb-21,1.149.939,597.328
18-Feb-21,1.164.144,623.832
19-Feb-21,,
20-Feb-21,1.224.091,732.634
21-Feb-21,,
22-Feb-21,,
23-Feb-21,1.269.905,789.966
24-Feb-21,1.363.138,825.65
25-Feb-21,1.461.920,853.745
26-Feb-21,1.583.581,865.87
27-Feb-21,1.616.165,982.37
28-Feb-21,1.691.724,998.439
1-Mar-21,,
2-Mar-21,1.968.057,1.055.271
3-Mar-21,2.286.123,1.100.228
4-Mar-21,,
5-Mar-21,2.413.615,1.114.537
6-Mar-21,,
7-Mar-21,2.888.757,1.133.787
8-Mar-21,,
9-Mar-21,,
10-Mar-21,3.574.698,1.262.878
11-Mar-21,3.696.059,1.295.615
12-Mar-21,3.769.174,1.339.362
13-Mar-21,3.985.596,1.454.836
14-Mar-21,4.020.124,1.460.222
15-Mar-21,4.166.862,1.572.786
16-Mar-21,4.468.951,1.716.749
17-Mar-21,4.705.248,1.876.140
18-Mar-21,4.838.752,1.948.531
19-Mar-21,5.124.948,2.221.200
20-Mar-21,5.533.379,2.301.978
21-Mar-21,5.567.280,2.312.601
22-Mar-21,5.732.210,2.494.422
23-Mar-21,6.389.837,2.941.016
24-Mar-21,,
25-Mar-21,6.730.456,3.015.190
26-Mar-21,7.179.014,3.233.810
27-Mar-21,7.190.663,3.235.027
28-Mar-21,7.435.851,3.330.639
29-Mar-21,,
30-Mar-21,,
31-Mar-21,8.010.163,3.664.708
1-Apr-21,8.371.577,3.854.451
2-Apr-21,8.424.729,3.867.762
3-Apr-21,,
4-Apr-21,8.634.321,4.014.803
5-Apr-21,,
6-Apr-21,9.021.106,4.431.504
7-Apr-21,,
8-Apr-21,9.374.089,4.697.396
9-Apr-21,,
10-Apr-21,10.002.901,5.079.048
11-Apr-21,,
12-Apr-21,10.280.073,5.322.501
13-Apr-21,,
14-Apr-21,10.457.337,5.550.906
15-Apr-21,10.781.266,5.717.460
16-Apr-21,,
17-Apr-21,10.801.563,5.890.790
18-Apr-21,,
19-Apr-21,10.972.343,6.052.612
20-Apr-21,11.116.253,6.158.748
21-Apr-21,11.302.294,6.341.931
22-Apr-21,11.432.711,6.448.197
23-Apr-21,11.623.251,6.699.327
24-Apr-21,,
25-Apr-21,11.741.559,6.829.415
26-Apr-21,,
27-Apr-21,12.015.912,7.214.534
28-Apr-21,12.150.377,7.411.095
29-Apr-21,12.306.755,7.583.443
30-Apr-21,12.422.253,7.646.284
1-May-21,,
2-May-21,12.469.406,7.703.110
3-May-21,,
4-May-21,12.699.568,8.002.236
5-May-21,,
6-May-21,13.028.699,8.339.055
7-May-21,13.486.054,8.486.054
8-May-21,,
9-May-21,13.349.469,8.463.830
10-May-21,,
11-May-21,13.467.777,8.888.529
12-May-21,,
13-May-21,13.697.256,8.919.949
14-May-21,13.700.389,8.921.978
15-May-21,,
16-May-21,13.745.160,8.975.937
17-May-21,13.828.102,9.093.965
18-May-21,13.985.952,9.276.187
19-May-21,,
20-May-21,14.452.878,9.580.546
21-May-21,14.685.236,9.746.522
22-May-21,,
23-May-21,14.909.734,9.881.024
24-May-21,14.919.592,9.906.629
25-May-21,15.546.158,10.236.019
26-May-21,,
27-May-21,,
28-May-21,,
29-May-21,,
30-May-21,16.304.700,10.584.489
31-May-21,16.413.672,10.631.835
1-Jun-21,13.594.581,10.714.300
2-Jun-21,16.766.263,10.852.984
3-Jun-21,17.042.850,10.984.900
4-Jun-21,17.416.321,11.070.321
5-Jun-21,17.581.464,11.121.469
6-Jun-21,17.643.603,11.126.757
7-Jun-21,17.775.918,11.197.069
8-Jun-21,18.260.482,11.356.025
9-Jun-21,18.718.769,11.436.259
10-Jun-21,19.211.433,11.488.917
11-Jun-21,19.669.968,11.525.638
12-Jun-21,20.044.187,11.559.138
13-Jun-21,20.158.937,11.568.443
14-Jun-21,20.424.048,11.615.862
15-Jun-21,20.904.723,11.699.021
16-Jun-21,21.448.774,11.815.618
17-Jun-21,21.999.256,11.963.130
18-Jun-21,22.455.167,12.096.066
19-Jun-21,22.873.342,12.212.906
20-Jun-21,23.043.372,12.129.706
21-Jun-21,23.530.219,12.398.428
22-Jun-21,13.998.166,12.583.389
23-Jun-21,24.358.856,12.640.041
24-Jun-21,24.929.442,12.769.789
25-Jun-21,25.482.036,12.912.623
26-Jun-21,26.032.131,13.018.524
27-Jun-21,27.200.222,13.155.761
28-Jun-21,27.419.898,13.182.034
